manufacturer,name,class,weight,max_takeoff,endurance,has_camera,is_toy
3D Robotics,Aero,none,3000,3000,40,,
3D Robotics,Aero M,none,3000,3000,40,,
3D Robotics,IRIS+,none,1282,1282,20,,
3D Robotics,Solo,none,1510,1510,25,,
3D Robotics,X8-M,none,2600,2600,14,,
3D Robotics,X8+,none,2600,2600,15,,
AirWood,CUBEE,none,80,80,8,,false
Autel,Evo,none,863,1000,30,,
Autel,Evo II,none,1150,1999,40,,
Autel,Evo 2 Pro,none,1191,1999,40,,
Autel,Evo 2 Dual,none,1150,2000,40,,
Autel,Evo 2 Dual 640T,none,1150,2000,40,,
Autel,Dragonfish,none,7000,8500,120,,
Autel,X-Star,none,1420,1420,25,,
Autel,Kestrel,none,2000,14000,120,,
Autel,X-Star Premium,none,1420,1420,25,,
DJI,Agras MG-1,none,22500,24500,22,,
DJI,Agras MG-1P,none,23800,24800,20,,
DJI,Agras MG-1P RTK,none,23900,24800,20,,
DJI,Agras MG-1S,none,23800,24800,22,,
DJI,Agras MG-1S RTK,none,23900,24800,22,,
DJI,Agras T16,none,41000,42000,18,,
DJI,Agras T20,none,42600,47500,9,,
DJI,Flame Wheel F330,none,,1200,15,,
DJI,Flame Wheel F450,none,,1600,15,,
DJI,Flame Wheel F550,none,,2400,15,,
DJI,Inspire 1,none,2845,2845,18,,
DJI,Inspire 1 Pro,none,2870,2870,15,,
DJI,Inspire 1 Raw,none,2870,2870,15,,
DJI,Inspire 2,none,3400,3400,27,,
DJI,Matrice 100,none,2355,3600,40,,
DJI,Matrice 200,none,3800,6140,38,,
DJI,Matrice 200 V2,none,4690,6140,38,,
DJI,Matrice 210,none,3840,6140,34,,
DJI,Matrice 210 RTK,none,4420,6140,33,,
DJI,Matrice 210 RTK V2,none,4910,6140,33,,
DJI,Matrice 210 V2,none,4800,6140,34,,
DJI,Matrice 300 RTK,none,6300,9000,55,,
DJI,Matrice 600,none,9100,15100,38,,
DJI,Matrice 600 Pro,none,9500,15500,38,,
DJI,Mavic 2 Enterprise,none,905,905,31,,
DJI,Mavic 2 Enterprise Advanced,none,909,909,31,,
DJI,Mavic 2 Enterprise Dual,none,899,899,31,,
DJI,Mavic 2 Pro,none,907,907,31,,
DJI,Mavic 2 Zoom,none,905,905,31,,
DJI,Mavic Air,none,430,430,21,,
DJI,Mavic Air 2,none,570,570,34,,
DJI,Mavic Mini,none,249,249,30,true,false
DJI,Mavic Pro,none,734,734,27,,
DJI,Mavic Pro Platinum,none,734,734,30,,
DJI,Mini 2,none,242,242,31,true,false
DJI,Phantom 1,none,800,800,10,,
DJI,Phantom 2,none,1000,1000,25,,
DJI,Phantom 2 Vision,none,1160,1160,25,,
DJI,Phantom 2 Vision+,none,1242,1242,25,,
DJI,Phantom 3 4k,none,1280,1280,25,,
DJI,Phantom 3 Advanced,none,1280,1280,23,,
DJI,Phantom 3 Professional,none,1280,1280,23,,
DJI,Phantom 3 SE,none,1236,1236,25,,
DJI,Phantom 3 Standard,none,1216,1216,25,,
DJI,Phantom 4,none,1380,1380,28,,
DJI,Phantom 4 Advanced,none,1368,1368,30,,
DJI,Phantom 4 Multispectral,none,1487,1487,27,,
DJI,Phantom 4 Pro,none,1388,1388,30,,
DJI,Phantom 4 Pro V2.0,none,1375,1375,30,,
DJI,Phantom 4 Pro+,none,1388,1388,30,,
DJI,Phantom 4 RTK,none,1391,1391,30,,
DJI,Phantom FC40,none,800,800,25,,
DJI,Spark,none,300,300,16,,
DJI,Spreading Wings S1000+,none,4400,11000,15,,
DJI,Spreading Wings S800,none,2600,7000,22,,
DJI,Spreading Wings S800 EVO,none,3700,8000,22,,
DJI,Spreading Wings S900,none,3300,8200,18,,
DJI,Tello,none,80,80,13,true,false
DJI,Tello EDU,none,80,80,13,true,false
DJI,Tello Iron Man,none,80,80,13,true,false
GoPro,Karma,none,1006,1006,20,,
Hubsan,Zino,none,700,700,45,,
Hubsan,Zino Pro,none,700,700,43,,
Hubsan,H109S X4 Pro,none,1400,1400,40,,
LaTrax,Alias,none,100,100,12,false,false
Parrot,Anafi,none,320,320,25,,
Parrot,AR Drone,none,420,420,12,,
Parrot,AR Drone 2.0,none,420,420,12,,
Parrot,Bebop,none,400,400,60,,
Parrot,Bebop 2,none,500,500,60,,
Parrot,Disco,none,750,750,45,,
Syma,X5C,none,200,200,10,true,false
Syma,X25 Pro,none,200,200,7,true,false
Syma,X8 Pro,none,620,620,15,,
TBS,GEMINI,none,370,370,10,,
Walkera,Vitus 320,none,890,890,25,,
Xiaomi,FIMI X8,none,790,790,35,,
Xiaomi,Mi Drone 4K,none,1390,1390,27,,
Xiaomi,Mi Drone Mini,none,88,88,10,true,false
Yuneec,Breeze,none,385,385,12,,
Yuneec,H850-RTK,none,5800,9300,65,,
Yuneec,Mantis G,none,490,490,33,,
Yuneec,Mantis Q,none,480,480,33,,
Yuneec,Typhoon 4K,none,1700,1700,25,,
Yuneec,Typhoon H,none,1950,1950,28,,
Yuneec,Typhoon H Plus,none,,2086,28,,
Yuneec,Typhoon H3,none,1985,1985,25,,
Yuneec,Typhoon Q500,none,1700,1700,25,,
Yuneec,Yuneec H520,none,1633,2500,25,,
Yuneec,Yuneec H520E,none,1985,2500,25,,
Yuneec,Yuneec H520E-RTK,none,1985,2500,25,,
